,Cost,Cured,IndefiniteControl,InitialTumourSize,NCycles,RelTimeGained,SFrac,TimeGained,TimeToFailure,TreatmentBranch,Turnover
1,0.2,False,False,0.25,1.0,0.10091882682244133,0.9,33.50505050505052,365.5050505050505,0.5,0.4
0,0.25,False,False,0.25,,,0.9,,389.5050505050505,MTD,0.4
1,0.25,False,False,0.25,2.0,0.18088223853115837,0.9,70.45454545454544,459.95959595959596,0.5,0.4
0,0.30000000000000004,False,False,0.25,,,0.9,,473.5151515151515,MTD,0.4
1,0.30000000000000004,False,False,0.25,2.0,0.17345023251845224,0.9,82.13131313131316,555.6464646464647,0.5,0.4
0,0.35000000000000003,False,False,0.25,,,0.9,,611.0,MTD,0.4
1,0.35000000000000003,False,False,0.25,3.0,0.23381110615153178,0.9,142.8585858585859,753.8585858585859,0.5,0.4
0,0.4,False,False,0.25,,,0.9,,905.2222222222222,MTD,0.4
1,0.4,False,False,0.25,4.0,0.25798676590379066,0.9,233.53535353535358,1138.7575757575758,0.5,0.4
0,0.45,False,True,0.25,,,0.9,,,MTD,0.4
1,0.45,False,True,0.25,,,0.9,,,0.5,0.4
0,0.5,False,True,0.25,,,0.9,,,MTD,0.4
1,0.5,False,True,0.25,,,0.9,,,0.5,0.4
0,0.0,False,False,0.25,,,0.9,,235.7979797979798,MTD,0.45
1,0.0,False,False,0.25,1.0,0.1097498286497601,0.9,25.878787878787875,261.67676767676767,0.5,0.45
0,0.05,False,False,0.25,,,0.9,,262.4646464646465,MTD,0.45
1,0.05,False,False,0.25,1.0,0.11318503694581267,0.9,29.70707070707067,292.17171717171715,0.5,0.45
0,0.1,False,False,0.25,,,0.9,,296.3131313131313,MTD,0.45
1,0.1,False,False,0.25,1.0,0.11361854440088638,0.9,33.666666666666686,329.979797979798,0.5,0.45
0,0.15000000000000002,False,False,0.25,,,0.9,,340.92929292929296,MTD,0.45
1,0.15000000000000002,False,False,0.25,1.0,0.11134155013036263,0.9,37.95959595959596,378.8888888888889,0.5,0.45
0,0.2,False,False,0.25,,,0.9,,402.82828282828285,MTD,0.45
1,0.2,False,False,0.25,2.0,0.19967402206619855,0.9,80.43434343434342,483.26262626262627,0.5,0.45
0,0.25,False,False,0.25,,,0.9,,495.82828282828285,MTD,0.45
1,0.25,False,False,0.25,2.0,0.19137449833968254,0.9,94.88888888888886,590.7171717171717,0.5,0.45
0,0.30000000000000004,False,False,0.25,,,0.9,,657.939393939394,MTD,0.45
1,0.30000000000000004,False,False,0.25,3.0,0.2541451731761237,0.9,167.21212121212113,825.1515151515151,0.5,0.45
0,0.35000000000000003,False,False,0.25,,,0.9,,1161.5757575757575,MTD,0.45
1,0.35000000000000003,False,False,0.25,5.0,0.2998191241434485,0.9,348.2626262626263,1509.8383838383838,0.5,0.45
0,0.4,False,True,0.25,,,0.9,,,MTD,0.45
1,0.4,False,True,0.25,,,0.9,,,0.5,0.45
0,0.45,False,True,0.25,,,0.9,,,MTD,0.45
1,0.45,False,True,0.25,,,0.9,,,0.5,0.45
0,0.5,False,True,0.25,,,0.9,,,MTD,0.45
1,0.5,False,True,0.25,,,0.9,,,0.5,0.45
0,0.0,False,False,0.25,,,0.9,,267.64646464646466,MTD,0.5
1,0.0,False,False,0.25,1.0,0.12703324904706192,0.9,34.0,301.64646464646466,0.5,0.5
0,0.05,False,False,0.25,,,0.9,,303.2828282828283,MTD,0.5
1,0.05,False,False,0.25,1.0,0.1279933388842631,0.9,38.81818181818181,342.1010101010101,0.5,0.5
0,0.1,False,False,0.25,,,0.9,,350.8181818181818,MTD,0.5
1,0.1,False,False,0.25,2.0,0.2012323284673634,0.9,70.59595959595958,421.4141414141414,0.5,0.5
0,0.15000000000000002,False,False,0.25,,,0.9,,418.1212121212121,MTD,0.5
1,0.15000000000000002,False,False,0.25,2.0,0.2232449147219404,0.9,93.34343434343435,511.4646464646465,0.5,0.5
0,0.2,False,False,0.25,,,0.9,,523.1414141414141,MTD,0.5
1,0.2,False,False,0.25,2.0,0.21061574404819383,0.9,110.18181818181824,633.3232323232323,0.5,0.5
0,0.25,False,False,0.25,,,0.9,,727.2929292929293,MTD,0.5
1,0.25,False,False,0.25,3.0,0.272700758312269,0.9,198.33333333333326,925.6262626262626,0.5,0.5
0,0.30000000000000004,False,True,0.25,,,0.9,,,MTD,0.5
1,0.30000000000000004,False,True,0.25,,,0.9,,,0.5,0.5
0,0.35000000000000003,False,True,0.25,,,0.9,,,MTD,0.5
1,0.35000000000000003,False,True,0.25,,,0.9,,,0.5,0.5
0,0.4,False,True,0.25,,,0.9,,,MTD,0.5
1,0.4,False,True,0.25,,,0.9,,,0.5,0.5
0,0.45,False,True,0.25,,,0.9,,,MTD,0.5
1,0.45,False,True,0.25,,,0.9,,,0.5,0.5
0,0.5,False,True,0.25,,,0.9,,,MTD,0.5
1,0.5,False,True,0.25,,,0.9,,,0.5,0.5
